Installment,Region,Channel,Platform,GameType,ReserveType,ReleaseYear,ReleaseMonth,RelativeWeek,Version,FinalPrice,ReservesLevel
RPG 3,CAN,Digital,PS,NonCasual,PrePurchase,2009,11,0,1,39.19048992,1073
RPG 3,CAN,Digital,XBOX,NonCasual,PrePurchase,2009,10,2,1,22.06234054,377
RPG 3,CAN,Digital,XBOX,NonCasual,PrePurchase,2009,10,3,1,22.06234054,237
RPG 3,CAN,Digital,XBOX,NonCasual,PrePurchase,2009,10,4,1,22.06234054,128
RPG 3,CAN,Digital,XBOX,NonCasual,PrePurchase,2009,11,2,1,22.06234054,492
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,3,1,48.96785736,12483
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,4,1,48.96785736,20282
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,5,1,48.96785736,20397
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,6,1,48.96785736,8356
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,8,1,48.96785736,19059
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,9,1,48.96785736,7569
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,10,1,48.96785736,2723
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,12,1,48.96785736,5706
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,14,1,48.96785736,15027
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,15,1,48.96785736,5745
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,18,1,48.96785736,3671
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,20,1,48.96785736,14870
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,21,1,48.96785736,11370
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,22,1,48.96785736,10091
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,23,1,48.96785736,9843
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,25,1,48.96785736,10343
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,26,1,48.96785736,955
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,27,1,48.96785736,9733
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,28,1,48.96785736,11150
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,29,1,48.96785736,1168
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,30,1,48.96785736,735
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,32,1,48.96785736,6623
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,35,1,48.96785736,1390
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,44,1,48.96785736,372
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,45,1,48.96785736,397
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,47,1,48.96785736,347
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,10,49,1,48.96785736,375
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,11,6,1,48.96785736,956
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,11,8,1,48.96785736,660
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,11,16,1,48.96785736,23
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,11,18,1,48.96785736,100
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,11,23,1,48.96785736,17
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,11,25,1,48.96785736,267
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,11,27,1,48.96785736,252
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,11,28,1,48.96785736,205
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,11,30,1,48.96785736,182
RPG 3,CAN,Retail,Nintendo,NonCasual,PreOrder,2009,11,34,1,48.96785736,102
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,0,1,48.96785736,0
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,1,1,48.96785736,8790
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,3,1,48.96785736,22132
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,4,1,48.96785736,7740
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,5,1,48.96785736,7401
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,7,1,48.96785736,16924
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,8,1,48.96785736,25714
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,9,1,48.96785736,6342
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,10,1,48.96785736,24763
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,12,1,48.96785736,1319
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,13,1,48.96785736,11770
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,14,1,48.96785736,22778
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,15,1,48.96785736,14886
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,16,1,48.96785736,14069
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,17,1,48.96785736,8972
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,18,1,48.96785736,0
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,19,1,48.96785736,0
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,21,1,48.96785736,3040
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,22,1,48.96785736,12195
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,25,1,48.96785736,992
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,26,1,48.96785736,9207
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,28,1,48.96785736,10295
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,29,1,48.96785736,748
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,31,1,48.96785736,8080
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,40,1,48.96785736,938
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,10,48,1,48.96785736,378
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,1,1,48.96785736,1068
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,4,1,48.96785736,229
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,5,1,48.96785736,97
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,6,1,48.96785736,73
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,11,1,48.96785736,565
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,13,1,48.96785736,119
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,15,1,48.96785736,527
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,18,1,48.96785736,431
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,22,1,48.96785736,377
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,23,1,48.96785736,312
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,24,1,48.96785736,11
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,26,1,48.96785736,253
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,27,1,48.96785736,8
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,32,1,48.96785736,10
RPG 3,CAN,Retail,PC,NonCasual,PreOrder,2009,11,35,1,48.96785736,63
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,0,1,39.19048992,0
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,1,1,39.19048992,94120
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,2,1,39.19048992,80002
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,3,1,39.19048992,12417
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,4,1,39.19048992,39999
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,5,1,39.19048992,16085
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,6,1,39.19048992,7247
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,7,1,39.19048992,17274
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,8,1,39.19048992,17587
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,9,1,39.19048992,6342
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,10,1,39.19048992,8808
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,11,1,39.19048992,32899
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,12,1,39.19048992,36791
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,13,1,39.19048992,5381
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,14,1,39.19048992,11180
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,15,1,39.19048992,7028
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,16,1,39.19048992,30974
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,17,1,39.19048992,19826
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,18,1,39.19048992,33026
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,19,1,39.19048992,31618
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,20,1,39.19048992,18264
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,21,1,39.19048992,7654
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,22,1,39.19048992,6192
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,23,1,39.19048992,18148
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,24,1,39.19048992,5287
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,25,1,39.19048992,13468
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,26,1,39.19048992,1942
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,27,1,39.19048992,1713
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,28,1,39.19048992,1408
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,29,1,39.19048992,19548
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,30,1,39.19048992,629
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,31,1,39.19048992,308
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,32,1,39.19048992,8126
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,34,1,39.19048992,9057
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,36,1,39.19048992,1227
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,37,1,39.19048992,609
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,38,1,39.19048992,1056
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,43,1,39.19048992,804
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,10,46,1,39.19048992,745
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,0,1,39.19048992,0
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,3,1,39.19048992,1654
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,4,1,39.19048992,1306
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,5,1,39.19048992,1280
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,6,1,39.19048992,210
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,7,1,39.19048992,132
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,8,1,39.19048992,75
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,9,1,39.19048992,129
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,10,1,39.19048992,793
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,13,1,39.19048992,539
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,14,1,39.19048992,89
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,17,1,39.19048992,22
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,19,1,39.19048992,21
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,20,1,39.19048992,495
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,24,1,39.19048992,341
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,28,1,39.19048992,6
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,29,1,39.19048992,188
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,30,1,39.19048992,15
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,32,1,39.19048992,143
RPG 3,CAN,Retail,PS,NonCasual,PreOrder,2009,11,33,1,39.19048992,4
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,2,1,22.06234054,8470
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,3,1,22.06234054,34944
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,4,1,22.06234054,7016
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,5,1,22.06234054,23825
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,6,1,22.06234054,52921
