Installment,Region,Channel,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,Version,GameType,ReserveType,FinalPrice,ReservesLevel
RPG 4,USA,Retail,Nintendo,2010,10,26,3,NonCasual,Pre-Order,21.83837867,161898
RPG 4,USA,Retail,Nintendo,2010,10,30,3,NonCasual,Pre-Order,21.83837867,2642
RPG 4,USA,Retail,Nintendo,2010,10,32,3,NonCasual,Pre-Order,21.83837867,167074
RPG 4,USA,Retail,Nintendo,2010,10,34,3,NonCasual,Pre-Order,21.83837867,757
RPG 4,USA,Retail,Nintendo,2010,11,1,3,NonCasual,Pre-Order,21.83837867,87858
RPG 4,USA,Retail,Nintendo,2010,11,2,3,NonCasual,Pre-Order,21.83837867,5743
RPG 4,USA,Retail,Nintendo,2010,11,5,3,NonCasual,Pre-Order,21.83837867,20
RPG 4,USA,Retail,Nintendo,2010,11,6,3,NonCasual,Pre-Order,21.83837867,13054
RPG 4,USA,Retail,Nintendo,2010,11,17,3,NonCasual,Pre-Order,21.83837867,325
RPG 4,USA,Retail,Nintendo,2010,11,26,3,NonCasual,Pre-Order,21.83837867,0
RPG 4,USA,Retail,Nintendo,2010,11,28,3,NonCasual,Pre-Order,21.83837867,416
RPG 4,USA,Retail,Nintendo,2010,11,37,3,NonCasual,Pre-Order,21.83837867,894
RPG 4,USA,Retail,PC,2010,10,0,3,NonCasual,Pre-Order,21.83837867,250038
RPG 4,USA,Retail,PC,2010,10,1,3,NonCasual,Pre-Order,21.83837867,5145
RPG 4,USA,Retail,PC,2010,10,2,3,NonCasual,Pre-Order,21.83837867,17156
RPG 4,USA,Retail,PC,2010,10,3,3,NonCasual,Pre-Order,21.83837867,225453
RPG 4,USA,Retail,PC,2010,10,4,3,NonCasual,Pre-Order,21.83837867,4929
RPG 4,USA,Retail,PC,2010,10,5,3,NonCasual,Pre-Order,21.83837867,205796
RPG 4,USA,Retail,PC,2010,10,6,3,NonCasual,Pre-Order,21.83837867,4494
RPG 4,USA,Retail,PC,2010,10,7,3,NonCasual,Pre-Order,21.83837867,340914
