,Installment,Region,Channel,Edition,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,GameType,ReservesLevel,FinalPrice
289,RPG 3,USA,Retail,Standard,XBOX,2009,10,6,NonCasual,623587,59.99
290,RPG 3,USA,Retail,Standard,XBOX,2009,10,7,NonCasual,610804,59.99
291,RPG 3,USA,Retail,Standard,XBOX,2009,10,8,NonCasual,597466,59.99
292,RPG 3,USA,Retail,Standard,XBOX,2009,10,9,NonCasual,584461,59.99
293,RPG 3,USA,Retail,Standard,XBOX,2009,10,10,NonCasual,571464,59.99
294,RPG 3,USA,Retail,Standard,XBOX,2009,10,11,NonCasual,560217,59.99
295,RPG 3,USA,Retail,Standard,XBOX,2009,10,12,NonCasual,548650,59.99
296,RPG 3,USA,Retail,Standard,XBOX,2009,10,13,NonCasual,538481,59.99
297,RPG 3,USA,Retail,Standard,XBOX,2009,10,14,NonCasual,527759,59.99
298,RPG 3,USA,Retail,Standard,XBOX,2009,10,15,NonCasual,517219,59.99
299,RPG 3,USA,Retail,Standard,XBOX,2009,10,16,NonCasual,506517,59.99
300,RPG 3,USA,Retail,Standard,XBOX,2009,10,17,NonCasual,496086,59.99
301,RPG 3,USA,Retail,Standard,XBOX,2009,10,18,NonCasual,490299,59.99
302,RPG 3,USA,Retail,Standard,XBOX,2009,10,19,NonCasual,478526,59.99
303,RPG 3,USA,Retail,Standard,XBOX,2009,10,20,NonCasual,463196,59.99
304,RPG 3,USA,Retail,Standard,XBOX,2009,10,21,NonCasual,455125,59.99
305,RPG 3,USA,Retail,Standard,XBOX,2009,10,22,NonCasual,440466,59.99
306,RPG 3,USA,Retail,Standard,XBOX,2009,10,23,NonCasual,429820,59.99
307,RPG 3,USA,Retail,Standard,XBOX,2009,10,24,NonCasual,419652,59.99
308,RPG 3,USA,Retail,Standard,XBOX,2009,10,25,NonCasual,406116,59.99
309,RPG 3,USA,Retail,Standard,XBOX,2009,10,26,NonCasual,396549,59.99
310,RPG 3,USA,Retail,Standard,XBOX,2009,10,27,NonCasual,386492,59.99
