Installment,Region,Channel,Edition,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,GameType,ReservesLevel
RPG E,CAN,Retail,Standard,XBOX ONE,2013,11,3,NonCasual,154
RPG E,CAN,Retail,Standard,XBOX ONE,2013,11,4,NonCasual,114
RPG E,CAN,Retail,Standard,XBOX ONE,2013,11,5,NonCasual,100
RPG E,CAN,Retail,Standard,XBOX ONE,2013,11,6,NonCasual,78
RPG E,CAN,Retail,Standard,XBOX ONE,2013,11,7,NonCasual,64
RPG E,CAN,Retail,Standard,XBOX ONE,2013,11,8,NonCasual,35
RPG E,CAN,Retail,Standard,XBOX ONE,2013,11,9,NonCasual,15
RPG E,BRA,Digital,Standard,PS4,2013,11,0,NonCasual,186
RPG E,BRA,Digital,Standard,PS4,2013,11,1,NonCasual,78
RPG E,BRA,Digital,Standard,PS4,2013,11,2,NonCasual,50
RPG E,BRA,Digital,Standard,PS4,2013,11,3,NonCasual,29
RPG E,BRA,Digital,Standard,PS4,2013,11,4,NonCasual,23
RPG E,BRA,Digital,Standard,PS4,2013,11,5,NonCasual,15
RPG E,BRA,Digital,Standard,PS4,2013,11,6,NonCasual,8
RPG E,BRA,Digital,Standard,PS4,2013,11,7,NonCasual,2
RPG E,BRA,Digital,Standard,XBOX ONE,2013,11,0,NonCasual,81
RPG E,BRA,Digital,Standard,XBOX ONE,2013,11,1,NonCasual,55
RPG E,BRA,Digital,Standard,XBOX ONE,2013,11,2,NonCasual,32
RPG E,BRA,Digital,Standard,XBOX ONE,2013,11,3,NonCasual,9
RPG E,MEX,Digital,Standard,PS4,2013,11,0,NonCasual,102
RPG E,MEX,Digital,Standard,PS4,2013,11,1,NonCasual,32
RPG E,MEX,Digital,Standard,PS4,2013,11,2,NonCasual,21
RPG E,MEX,Digital,Standard,PS4,2013,11,3,NonCasual,13
RPG E,MEX,Digital,Standard,PS4,2013,11,4,NonCasual,11
RPG E,MEX,Digital,Standard,PS4,2013,11,5,NonCasual,11
RPG E,MEX,Digital,Standard,PS4,2013,11,6,NonCasual,9
RPG E,MEX,Digital,Standard,PS4,2013,11,7,NonCasual,2
RPG E,MEX,Digital,Standard,XBOX ONE,2013,11,0,NonCasual,103
RPG E,MEX,Digital,Standard,XBOX ONE,2013,11,1,NonCasual,52
RPG E,MEX,Digital,Standard,XBOX ONE,2013,11,2,NonCasual,28
RPG E,MEX,Digital,Standard,XBOX ONE,2013,11,3,NonCasual,11
RPG E,ROSA,Digital,Standard,PS4,2013,11,0,NonCasual,114
RPG E,ROSA,Digital,Standard,PS4,2013,11,1,NonCasual,48
RPG E,ROSA,Digital,Standard,PS4,2013,11,2,NonCasual,33
RPG E,ROSA,Digital,Standard,PS4,2013,11,3,NonCasual,20
RPG E,ROSA,Digital,Standard,PS4,2013,11,4,NonCasual,19
RPG E,ROSA,Digital,Standard,PS4,2013,11,5,NonCasual,13
RPG E,ROSA,Digital,Standard,PS4,2013,11,6,NonCasual,10
RPG E,ROSA,Digital,Standard,PS4,2013,11,7,NonCasual,3
RPG E,ROSA,Digital,Standard,PS4,2013,11,8,NonCasual,1
RPG E,ROSA,Digital,Standard,PS4,2013,11,9,NonCasual,0
RPG E,ROSA,Digital,Standard,PS4,2013,11,10,NonCasual,0
RPG E,ROSA,Digital,Standard,PS4,2013,11,11,NonCasual,0
RPG E,ROSA,Digital,Standard,XBOX ONE,2013,11,0,NonCasual,31
RPG E,ROSA,Digital,Standard,XBOX ONE,2013,11,1,NonCasual,18
RPG E,ROSA,Digital,Standard,XBOX ONE,2013,11,2,NonCasual,12
RPG E,ROSA,Digital,Standard,XBOX ONE,2013,11,3,NonCasual,6
RPG 3,USA,Digital,Deluxe,PC,2009,11,0,NonCasual,5575
RPG 3,USA,Digital,Deluxe,PC,2009,11,1,NonCasual,5575
RPG 3,USA,Digital,Deluxe,PC,2009,11,2,NonCasual,2581
RPG 3,USA,Digital,Gold,PS3,2009,10,0,NonCasual,821
RPG 3,USA,Digital,Gold,PS3,2009,10,1,NonCasual,821
RPG 3,USA,Digital,Gold,PS3,2009,10,2,NonCasual,474
RPG 3,USA,Digital,Gold,PS3,2009,10,3,NonCasual,297
RPG 3,USA,Digital,Gold,PS3,2009,10,4,NonCasual,147
RPG 3,USA,Digital,Standard,PS3,2009,10,0,NonCasual,3827
RPG 3,USA,Digital,Standard,PS3,2009,10,1,NonCasual,3827
RPG 3,USA,Digital,Standard,PS3,2009,10,2,NonCasual,2251
RPG 3,USA,Digital,Standard,PS3,2009,10,3,NonCasual,1392
RPG 3,USA,Digital,Standard,PS3,2009,10,4,NonCasual,674
RPG 3,USA,Digital,Standard,PC,2009,11,0,NonCasual,5297
RPG 3,USA,Digital,Standard,PC,2009,11,1,NonCasual,5297
RPG 3,USA,Digital,Standard,PC,2009,11,2,NonCasual,2186
RPG 3,USA,Retail,Collector,PS3,2009,10,0,NonCasual,29612
RPG 3,USA,Retail,Collector,PS3,2009,10,1,NonCasual,29612
RPG 3,USA,Retail,Collector,PS3,2009,10,2,NonCasual,28805
RPG 3,USA,Retail,Collector,PS3,2009,10,3,NonCasual,28413
RPG 3,USA,Retail,Collector,PS3,2009,10,4,NonCasual,28029
RPG 3,USA,Retail,Collector,PS3,2009,10,5,NonCasual,27752
RPG 3,USA,Retail,Collector,PS3,2009,10,6,NonCasual,27534
RPG 3,USA,Retail,Collector,PS3,2009,10,7,NonCasual,26513
RPG 3,USA,Retail,Collector,PS3,2009,10,8,NonCasual,24902
RPG 3,USA,Retail,Collector,PS3,2009,10,9,NonCasual,23388
RPG 3,USA,Retail,Collector,PS3,2009,10,10,NonCasual,21718
RPG 3,USA,Retail,Collector,PS3,2009,10,11,NonCasual,20183
RPG 3,USA,Retail,Collector,PS3,2009,10,12,NonCasual,18343
RPG 3,USA,Retail,Collector,PS3,2009,10,13,NonCasual,16614
RPG 3,USA,Retail,Collector,PS3,2009,10,14,NonCasual,14597
RPG 3,USA,Retail,Collector,PS3,2009,10,15,NonCasual,12503
RPG 3,USA,Retail,Collector,PS3,2009,10,16,NonCasual,9732
RPG 3,USA,Retail,Collector,PS3,2009,10,17,NonCasual,5668
RPG 3,USA,Retail,Collector,XBOX360,2009,10,0,NonCasual,50174
RPG 3,USA,Retail,Collector,XBOX360,2009,10,1,NonCasual,50174
RPG 3,USA,Retail,Collector,XBOX360,2009,10,2,NonCasual,49387
RPG 3,USA,Retail,Collector,XBOX360,2009,10,3,NonCasual,48970
RPG 3,USA,Retail,Collector,XBOX360,2009,10,4,NonCasual,48571
RPG 3,USA,Retail,Collector,XBOX360,2009,10,5,NonCasual,47665
RPG 3,USA,Retail,Collector,XBOX360,2009,10,6,NonCasual,44433
RPG 3,USA,Retail,Collector,XBOX360,2009,10,7,NonCasual,42286
RPG 3,USA,Retail,Collector,XBOX360,2009,10,8,NonCasual,39746
RPG 3,USA,Retail,Collector,XBOX360,2009,10,9,NonCasual,37232
RPG 3,USA,Retail,Collector,XBOX360,2009,10,10,NonCasual,34687
RPG 3,USA,Retail,Collector,XBOX360,2009,10,11,NonCasual,32342
RPG 3,USA,Retail,Collector,XBOX360,2009,10,12,NonCasual,29391
RPG 3,USA,Retail,Collector,XBOX360,2009,10,13,NonCasual,26759
RPG 3,USA,Retail,Collector,XBOX360,2009,10,14,NonCasual,23590
RPG 3,USA,Retail,Collector,XBOX360,2009,10,15,NonCasual,20279
RPG 3,USA,Retail,Collector,XBOX360,2009,10,16,NonCasual,15678
RPG 3,USA,Retail,Collector,XBOX360,2009,10,17,NonCasual,8910
RPG 3,USA,Retail,Standard,Wii U,2009,11,0,NonCasual,4729
RPG 3,USA,Retail,Standard,Wii U,2009,11,1,NonCasual,4729
RPG 3,USA,Retail,Standard,Wii U,2009,11,2,NonCasual,4610
RPG 3,USA,Retail,Standard,Wii U,2009,11,3,NonCasual,4475
RPG 3,USA,Retail,Standard,Wii U,2009,11,4,NonCasual,4128
RPG 3,USA,Retail,Standard,Wii U,2009,11,5,NonCasual,3830
RPG 3,USA,Retail,Standard,Wii U,2009,11,6,NonCasual,3509
RPG 3,USA,Retail,Standard,Wii U,2009,11,7,NonCasual,3155
RPG 3,USA,Retail,Standard,Wii U,2009,11,8,NonCasual,2599
RPG 3,USA,Retail,Standard,Wii U,2009,11,9,NonCasual,2055
RPG 3,USA,Retail,Standard,Wii U,2009,11,10,NonCasual,873
RPG 3,USA,Retail,Standard,Wii U,2009,11,11,NonCasual,816
RPG 3,USA,Retail,Standard,Wii U,2009,11,12,NonCasual,778
RPG 3,USA,Retail,Standard,Wii U,2009,11,13,NonCasual,719
RPG 3,USA,Retail,Standard,Wii U,2009,11,14,NonCasual,649
RPG 3,USA,Retail,Standard,Wii U,2009,11,15,NonCasual,624
RPG 3,USA,Retail,Standard,Wii U,2009,11,16,NonCasual,591
RPG 3,USA,Retail,Standard,Wii U,2009,11,17,NonCasual,567
RPG 3,USA,Retail,Standard,Wii U,2009,11,18,NonCasual,537
RPG 3,USA,Retail,Standard,Wii U,2009,11,19,NonCasual,516
RPG 3,USA,Retail,Standard,Wii U,2009,11,20,NonCasual,477
RPG 3,USA,Retail,Standard,Wii U,2009,11,21,NonCasual,420
RPG 3,USA,Retail,Standard,Wii U,2009,11,22,NonCasual,328
RPG 3,USA,Retail,Standard,Wii U,2009,11,23,NonCasual,171
RPG 3,USA,Retail,Standard,PS3,2009,10,0,NonCasual,495807
RPG 3,USA,Retail,Standard,PS3,2009,10,1,NonCasual,495807
RPG 3,USA,Retail,Standard,PS3,2009,10,2,NonCasual,442240
RPG 3,USA,Retail,Standard,PS3,2009,10,3,NonCasual,412743
RPG 3,USA,Retail,Standard,PS3,2009,10,4,NonCasual,387978
RPG 3,USA,Retail,Standard,PS3,2009,10,5,NonCasual,366898
RPG 3,USA,Retail,Standard,PS3,2009,10,6,NonCasual,351366
RPG 3,USA,Retail,Standard,PS3,2009,10,7,NonCasual,344553
RPG 3,USA,Retail,Standard,PS3,2009,10,8,NonCasual,336401
RPG 3,USA,Retail,Standard,PS3,2009,10,9,NonCasual,328169
RPG 3,USA,Retail,Standard,PS3,2009,10,10,NonCasual,320362
RPG 3,USA,Retail,Standard,PS3,2009,10,11,NonCasual,314068
RPG 3,USA,Retail,Standard,PS3,2009,10,12,NonCasual,306980
